Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
7.774299772760324e-05,800.0000000000001,0.9999999999999297,0.003926804481708028,0.09541052547718167,0.4800407742889307,0.14039975220807036,0.0076787792374579476,0.2343050101472367,0.03823835415941448,0.7532880450462155,8.555953447361839e-06,0.0007672757449932566,0.01033835003862465,0.005723393599502928,2.3591705030682827e-07,4.9007982870241565e-06,9.940650089099176e-09,3.195305841628944e-11,2.070764173713652e-06,0.22986716216510217
7.779644038087883e-05,800.0000000000001,0.9999999999999297,0.003923382336446151,0.09522686813764791,0.4802275098968192,0.14030840809212708,0.00768057578279567,0.23439487033321257,0.038238385420951516,0.7540105316089393,8.54497905531569e-06,0.0007683076519928421,0.010339580072130978,0.005730442941300944,2.360610808914803e-07,4.89720687292035e-06,9.942492198565734e-09,3.1958979318410657e-11,2.077846618421007e-06,0.22913537165755718
7.784988303415442e-05,800.0000000000001,0.9999999999999296,0.003919968439220919,0.09504319877195977,0.48041426340531457,0.14021703806323538,0.007682430840955116,0.2344846850806884,0.03823841539862587,0.7547379877819332,8.534085712837855e-06,0.0007693452278052705,0.0103408714592631,0.00573757831426278,2.3620626412956906e-07,4.893633905933436e-06,9.944420375309914e-09,3.196517685040407e-11,2.0850398657044185e-06,0.22839845827460145
7.790332568743e-05,800.0000000000001,0.9999999999999297,0.003916562910775831,0.09485951610555472,0.48060103613556754,0.14012564124832863,0.007684345082214611,0.23457445444033298,0.038238444077225625,0.755470479755473,8.523275980225404e-06,0.0007703885481423384,0.010342225618972467,0.005744800935663068,2.363526135182778e-07,4.890079819182475e-06,9.946436287431289e-09,3.1971656373589913e-11,2.0923464760774234e-06,0.2276563531084522
7.795676834070559e-05,800.0000000000001,0.9999999999999296,0.003913165876848149,0.09467581884136862,0.4807878294306045,0.1400342167569348,0.007686319192506336,0.23466417846059606,0.038238471441141744,0.7562080757510764,8.5125524891105e-06,0.0007714376909349966,0.010343644023316624,0.005752112056520974,2.3650014299776015e-07,4.886545063566666e-06,9.94854166690928e-09,3.197842345460258e-11,2.0997690961354337e-06,0.22690898513083918
7.801021099398118e-05,800.0000000000001,0.9999999999999296,0.003909777468385071,0.09449210565895867,0.48097464465615547,0.1399427636805015,0.007688353873993591,0.23475385718765288,0.038238497474352824,0.7569508462445073,8.501917940115567e-06,0.0007724927365893374,0.01034512820167651,0.005759512964275683,2.3664886697395947e-07,4.883030109024956e-06,9.950738314722116e-09,3.198548388184422e-11,2.1073104643115175e-06,0.2261562809628469
7.806365364725676e-05,800.0000000000001,0.9999999999999297,0.003906397821771221,0.09430837521358615,0.4811614832015216,0.1398512810916889,0.0076904498456767285,0.2348434906653462,0.03823852216040921,0.7576988639671385,8.491375162530952e-06,0.0007735537679785356,0.010346679742188796,0.005767004983365505,2.3679880033617175e-07,4.87953544514084e-06,9.953028102562439e-09,3.199284367099244e-11,2.114973432575895e-06,0.2253981648714669
7.811709630053235e-05,800.0000000000001,0.9999999999999297,0.00390302707906623,0.09412462613525727,0.4813483464804792,0.1397597680436317,0.007692607844022262,0.2349330789351271,0.038238545482416154,0.7584522039226181,8.480927076240098e-06,0.0007746208704490918,0.010348300293119348,0.005774589475884965,2.3694995848084948e-07,4.876061581715415e-06,9.955412974646486e-09,3.200050907081952e-11,2.1227609532718865e-06,0.22463455875094537
7.817053895380794e-05,800.0000000000001,0.9999999999999296,0.0039000011456568062,0.09395923488013959,0.4815165457677183,0.13967737945879663,0.007694603698616641,0.23501366975744775,0.03823856529162415,0.7591348245098457,8.471607207666406e-06,0.0007755865263235458,0.010349819209020578,0.005781495743427635,2.370870611572027e-07,4.8729533282433075e-06,9.957642328379216e-09,3.200767460111083e-11,2.129878730884708e-06,0.22394255249540446
7.821863734175595e-05,800.0000000000001,0.9999999999999297,0.0038969826563628137,0.09379382636495477,0.48168476732202314,0.13959496469917662,0.007696650968906365,0.2350942240196634,0.03823858396891269,0.7598218773167924,8.462368733836965e-06,0.0007765572374583659,0.01035139670827057,0.00578847910324918,2.3722518080294766e-07,4.8698627570728695e-06,9.959951871212853e-09,3.201509786731303e-11,2.1371021860627786e-06,0.22324597308340471
7.826673572970398e-05,800.0000000000001,0.9999999999999297,0.0038942724768210816,0.0936449430720879,0.48183618665593914,0.13952076842971037,0.007698537948300058,0.2351666916174567,0.03823859979968477,0.7604440640283605,8.45412563658989e-06,0.0007774352560104052,0.010352867654844035,0.005794830933428812,2.3735036821661282e-07,4.867096707112505e-06,9.962100332090152e-09,3.2022003383557875e-11,2.143695626342744e-06,0.2226150898648957
