,time (s),T1 (K),P1 (bar),V1 (m3),T2 (K),P2 (bar),V2 (m3)
73,0.029600000000000026,644.3850513268972,6.752719235476475,1.933808086753389,1097.1750021060564,6.718086823810974,0.06619191324660739
74,0.030000000000000027,644.3760991204634,6.75239113508836,1.9338751839803356,1096.3485719517655,6.719837413447969,0.06612481601966096
75,0.030400000000000028,644.3679516927863,6.752084299082905,1.9339386125300475,1095.5095887886014,6.7211414827815545,0.06606138746994898
76,0.03080000000000003,644.3604265508679,6.751793947263931,1.9339991928137696,1094.6618768420408,6.722104580295462,0.06600080718622686
77,0.03120000000000003,644.3533843447799,6.751516429499009,1.9340575513812248,1093.8083785540134,6.722807614945447,0.06594244861877183
78,0.03160000000000003,644.3467187451935,6.751248960519573,1.9341141663906927,1092.9513614247746,6.723312579139817,0.06588583360930383
79,0.03200000000000003,644.3403487276349,6.750989417790141,1.9341694022740394,1092.0925761891174,6.723666934755443,0.0658305977259574
80,0.032400000000000026,644.334212623406,6.750736185673659,1.934223536467573,1091.2333790494304,6.723907010278624,0.06577646353242388
81,0.032800000000000024,644.3282635764066,6.750488036430803,1.9342767798281577,1090.374825247485,6.724060604606799,0.06572322017183907
82,0.03320000000000002,644.3224660595482,6.750244038978882,1.9343292922891009,1089.5177409664134,6.72414898981634,0.065670707710896
83,0.03360000000000002,644.3167932115448,6.750003489141013,1.9343811948301028,1088.6627784328632,6.724188446454676,0.06561880516989416
84,0.034000000000000016,644.3112248011698,6.749765856331081,1.9344325786276955,1087.810458156342,6.724191440048678,0.06556742137230172
85,0.034400000000000014,644.305745670454,6.749530742783376,1.9344835120533657,1086.9612013390526,6.724167522973204,0.06551648794663162
86,0.03480000000000001,644.3003445494109,6.749297852512709,1.9345340460019689,1086.1153546750986,6.724124022827344,0.0654659539980286
87,0.03520000000000001,644.2950131470795,6.749066967511412,1.9345842179781996,1085.2732094755831,6.7240665717307655,0.06541578202179794
88,0.03560000000000001,644.289745461263,6.748837929673514,1.934634055200097,1084.4350163281542,6.7239995095894,0.06536594479990072
89,0.036000000000000004,644.2845372519425,6.748610627005172,1.9346835769668134,1083.600996408171,6.723926192894183,0.06531642303318415
90,0.0364,644.2793856409203,6.74838498314056,1.934732796458969,1082.771350230852,6.723849230707702,0.06526720354102854
91,0.0368,644.2742888074661,6.748160949371619,1.9347817221074253,1081.946264460275,6.723770665234274,0.06521827789257216
92,0.0372,644.2692457572862,6.747938498597642,1.9348303586324513,1081.1259172534858,6.723692110142273,0.06516964136754634
93,0.037599999999999995,644.2642561473273,6.747717620736806,1.9348787078318723,1080.3104825016924,6.723614856765736,0.06512129216812534
94,0.03799999999999999,644.259320155967,6.747498319325843,1.934926769165185,1079.5001331935864,6.723539954260094,0.06507323083481271
95,0.03839999999999999,644.2544383837038,6.747280608918269,1.9349745402005565,1078.6950442097307,6.723468272413756,0.06502545979944149
96,0.03879999999999999,644.2496117799816,6.747064513166633,1.9350220169443466,1077.8953946477989,6.723400549675275,0.0649779830556515
97,0.039199999999999985,644.2448415900714,6.746850063429766,1.9350691940804685,1077.101369811557,6.723337429974536,0.06493080591952945
98,0.03959999999999998,644.240129316441,6.746637297759138,1.935116065144632,1076.3131629870295,6.723279491645048,0.06488393485536599
99,0.03999999999999998,644.2354766921582,6.746426260200075,1.9351626226445122,1075.5309770671038,6.723227269934467,0.06483737735548582
100,0.04039999999999998,644.2308856634482,6.74621700033238,1.9352088581387987,1074.7550260951791,6.723181274856181,0.06479114186119912
101,0.040799999999999975,644.2263583795022,6.746009573000562,1.9352547622836773,1073.985536780635,6.723142005577733,0.06474523771632058
102,0.04119999999999997,644.2218971882227,6.745804038199212,1.9353003248526612,1073.2227500286447,6.72310996221103,0.06469967514733668
103,0.04159999999999997,644.2175046367848,6.745600461084185,1.9353455347348234,1072.4669225225862,6.7230856557576555,0.06465446526517463
104,0.04199999999999997,644.2131834763048,6.7453989120909075,1.9353903799146244,1071.7183283965019,6.723069616769569,0.0646096200853739
105,0.042399999999999965,644.2089366701083,6.7451994671466355,1.9354348474356156,1070.9772610292107,6.723062403157229,0.06456515256438243
106,0.04279999999999996,644.2047674052327,6.745002207966932,1.935478923349678,1070.2440349883057,6.723064607493513,0.06452107665032002
107,0.04319999999999996,644.2006791070314,6.744807222432915,1.9355225926523998,1069.5189881764768,6.72307686421038,0.06447740734759819
108,0.04359999999999996,644.1966754567953,6.744614605046988,1.9355658392049826,1068.8024841882989,6.723099856776715,0.06443416079501532
109,0.043999999999999956,644.192760412406,6.744424457467387,1.9356086456426194,1068.0949149275875,6.723134325181158,0.06439135435737839
110,0.04439999999999995,644.1889382323213,6.744236889129331,1.9356509932680168,1067.3967035695766,6.723181074111784,0.06434900673198087
111,0.04479999999999995,644.1852135029012,6.74405201795293,1.9356928619300287,1066.7083078330058,6.723240981623326,0.06430713806996909
112,0.04519999999999995,644.181591169633,6.743869971152359,1.9357342298849143,1066.0302237033027,6.723315008930332,0.06426577011508357
113,0.045599999999999946,644.1780765725766,6.743690886154655,1.9357750736387902,1065.3629896366776,6.723404211383095,0.06422492636120779
114,0.045999999999999944,644.174675486619,6.743514911643346,1.9358153677686638,1064.707191328915,6.7235097508957775,0.06418463223133428
115,0.04639999999999994,644.1713941672043,6.743342208744327,1.9358550847190645,1064.0634671473838,6.723632910158498,0.06414491528093362
116,0.04679999999999994,644.1682394023591,6.743172952375174,1.9358941945706318,1063.4325143421663,6.723775109009598,0.06410580542936639
117,0.047199999999999936,644.1652185719171,6.743007332781472,1.9359326647766164,1062.8150961605168,6.723937923356483,0.06406733522338194
118,0.047599999999999934,644.162339715187,6.742845557292418,1.9359704598617655,1062.2120500358426,6.724123107185622,0.06402954013823296
119,0.04799999999999993,644.1596116085819,6.742687852335224,1.9360075410767978,1061.624297064959,6.724332618347148,0.06399245892320066
120,0.04839999999999993,644.157043854651,6.742534465745725,1.936043866002062,1061.0528529748808,6.724568648759423,0.06395613399793679
121,0.04879999999999993,644.1546469848288,6.74238566943543,1.9360793880900329,1060.4988409053462,6.724833660083841,0.06392061190996609
122,0.049199999999999924,644.1524325783099,6.742241762477586,1.9361140561359165,1059.9635063562296,6.725130426025985,0.06388594386408257
123,0.04959999999999992,644.150413400141,6.7421030746927055,1.9361478136625527,1059.4482347347841,6.725462082666266,0.06385218633744641
124,0.04999999999999992,644.1486035623412,6.741969970832676,1.9361805982026101,1058.954572099591,6.725832188932967,0.06381940179738914
125,0.05039999999999992,644.1470187126652,6.741842855483441,1.9362123404574838,1058.4842497086865,6.726244799036145,0.06378765954251536
126,0.050799999999999915,644.1456762568655,6.741722178838676,1.9362429633067415,1058.039213368565,6.726704550641964,0.06375703669325773
127,0.05119999999999991,644.1445956219445,6.741608443539288,1.9362723806346842,1057.6216586190897,6.727216772034241,0.06372761936531486
