z, Pressure_0, Pressure_1, Pressure_2, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, 
0.0110526, 1.00011e+06, 1.00011e+06, 1.00008e+06, 0.161396, 1173, 1173, 0.0431923, 0.0937304, 4.78269e-18, 0.07086, 0.400614, 0.391595, 8.38282e-06, 0.256549, 0.00163232, 7.26087e-10, 0.00196175, 2.63593e-05, 0.415182, 7.47973e-05, 9.30818e-07, 3.28802e-10, 2.61823e-12, 2.07945e-10, 5.21417e-11, 7.9382e-08, 0.324573, 0.159433, 1173, 1173, 0.0430926, 0.0951835, 5.1651e-18, 0.0747809, 0.390379, 0.396556, 8.56483e-06, 0.253663, 0.0016991, 7.25591e-10, 0.00198983, 2.7863e-05, 0.417441, 7.68563e-05, 9.11055e-07, 3.30142e-10, 2.6061e-12, 2.06942e-10, 5.22945e-11, 8.28316e-08, 0.325101, 0.134305, 1173, 1173, 0.0429978, 0.0982318, 6.077e-18, 0.0831505, 0.369008, 0.406603, 8.94027e-06, 0.24754, 0.00184992, 7.26679e-10, 0.00204782, 3.13056e-05, 0.422132, 8.13547e-05, 8.70023e-07, 3.32484e-10, 2.58917e-12, 2.055e-10, 5.28115e-11, 9.04848e-08, 0.326316, 
0.0121053, 1.0001e+06, 1.0001e+06, 1.00007e+06, 0.160467, 1173, 1173, 0.0392733, 0.0975451, 4.8246e-18, 0.0741171, 0.398157, 0.390899, 8.51052e-06, 0.254149, 0.00162916, 6.56043e-10, 0.00194591, 2.73786e-05, 0.419643, 7.44225e-05, 9.58373e-07, 3.38979e-10, 2.48202e-12, 1.89373e-10, 4.77584e-11, 8.21978e-08, 0.322529, 0.158492, 1173, 1173, 0.0391189, 0.0990394, 5.21629e-18, 0.0782495, 0.387756, 0.395827, 8.69751e-06, 0.25124, 0.00169686, 6.54587e-10, 0.00197383, 2.89532e-05, 0.421899, 7.64963e-05, 9.37448e-07, 3.4023e-10, 2.46451e-12, 1.88083e-10, 4.78066e-11, 8.57824e-08, 0.323085, 0.129288, 1173, 1173, 0.0388853, 0.102156, 6.14589e-18, 0.087048, 0.366159, 0.405742, 9.082e-06, 0.245097, 0.00184916, 6.53213e-10, 0.00203116, 3.25427e-05, 0.426558, 8.10066e-05, 8.94255e-07, 3.42349e-10, 2.43517e-12, 1.85935e-10, 4.80674e-11, 9.36958e-08, 0.32435, 
0.0131579, 1.00008e+06, 1.00008e+06, 1.00006e+06, 0.159444, 1173, 1173, 0.0358217, 0.100909, 4.91206e-18, 0.0773932, 0.394784, 0.391083, 8.65166e-06, 0.251842, 0.00163589, 5.95477e-10, 0.00193736, 2.84396e-05, 0.423515, 7.44122e-05, 9.77774e-07, 3.47482e-10, 2.35985e-12, 1.73205e-10, 4.39623e-11, 8.50201e-08, 0.320966, 0.157446, 1173, 1173, 0.0355875, 0.102478, 5.31506e-18, 0.0817697, 0.384227, 0.395929, 8.84298e-06, 0.248886, 0.00170463, 5.92616e-10, 0.00196479, 3.00955e-05, 0.425811, 7.64956e-05, 9.56262e-07, 3.48742e-10, 2.33676e-12, 1.71522e-10, 4.38847e-11, 8.87592e-08, 0.321526, 0.127794, 1173, 1173, 0.0351899, 0.105696, 6.27071e-18, 0.091049, 0.362416, 0.40564, 9.23441e-06, 0.242691, 0.001859, 5.88346e-10, 0.00202106, 3.38492e-05, 0.43049, 8.10197e-05, 9.11678e-07, 3.50731e-10, 2.29536e-12, 1.68574e-10, 4.38758e-11, 9.69573e-08, 0.322823, 
0.0142105, 1.00007e+06, 1.00007e+06, 1.00005e+06, 0.158215, 1173, 1173, 0.0325149, 0.104329, 5.03991e-18, 0.0810908, 0.390372, 0.391685, 8.80135e-06, 0.249346, 0.00164975, 5.38161e-10, 0.00193192, 2.96522e-05, 0.427391, 7.4622e-05, 9.93732e-07, 3.55691e-10, 2.24121e-12, 1.57808e-10, 4.03606e-11, 8.81478e-08, 0.319577, 0.156231, 1173, 1173, 0.0322499, 0.105881, 5.45726e-18, 0.0856532, 0.379731, 0.396476, 8.99615e-06, 0.246395, 0.00172002, 5.34799e-10, 0.0019593, 3.13752e-05, 0.429627, 7.67327e-05, 9.71029e-07, 3.56712e-10, 2.21421e-12, 1.55978e-10, 4.0215e-11, 9.19897e-08, 0.320189, 0.122713, 1173, 1173, 0.0317716, 0.109043, 6.44453e-18, 0.0953114, 0.357827, 0.406038, 9.3938e-06, 0.24023, 0.00187751, 5.29166e-10, 0.00201532, 3.52688e-05, 0.434167, 8.13064e-05, 9.24177e-07, 3.58166e-10, 2.16397e-12, 1.52649e-10, 4.00396e-11, 1.00381e-07, 0.321593, 
0.0152632, 1.00006e+06, 1.00006e+06, 1.00004e+06, 0.157001, 1173, 1173, 0.0297371, 0.107101, 5.20379e-18, 0.0845995, 0.385493, 0.39306, 8.95899e-06, 0.247083, 0.00167178, 4.90794e-10, 0.00193322, 3.08463e-05, 0.430528, 7.51438e-05, 1.00102e-06, 3.61826e-10, 2.13675e-12, 1.44957e-10, 3.73588e-11, 9.11221e-08, 0.318677, 0.155003, 1173, 1173, 0.0293873, 0.108715, 5.63912e-18, 0.089419, 0.374732, 0.397738, 9.15768e-06, 0.244086, 0.00174366, 4.85968e-10, 0.00196006, 3.26573e-05, 0.432799, 7.72731e-05, 9.78023e-07, 3.62822e-10, 2.10473e-12, 1.42735e-10, 3.70916e-11, 9.51156e-08, 0.3193, 0.121224, 1173, 1173, 0.0287407, 0.111948, 6.66629e-18, 0.0995899, 0.352677, 0.407035, 9.56103e-06, 0.237864, 0.00190458, 4.77419e-10, 0.00201492, 3.673e-05, 0.437352, 8.18822e-05, 9.30369e-07, 3.64083e-10, 2.04385e-12, 1.38633e-10, 3.66635e-11, 1.03784e-07, 0.320745, 
0.0163158, 1.00005e+06, 1.00005e+06, 1.00003e+06, 0.155523, 1173, 1173, 0.0267784, 0.110276, 5.40963e-18, 0.0888903, 0.379494, 0.394552, 9.13092e-06, 0.244441, 0.00169972, 4.40675e-10, 0.00193492, 3.22911e-05, 0.434062, 7.58023e-05, 1.00786e-06, 3.68562e-10, 2.024e-12, 1.31302e-10, 3.41617e-11, 9.46439e-08, 0.317753, 0.153569, 1173, 1173, 0.0264429, 0.111797, 5.86523e-18, 0.0938461, 0.368749, 0.399156, 9.33022e-06, 0.241489, 0.00177358, 4.36118e-10, 0.00196183, 3.4159e-05, 0.436205, 7.79684e-05, 9.83553e-07, 3.69134e-10, 1.99007e-12, 1.29152e-10, 3.38803e-11, 9.86912e-08, 0.318457, 0.116162, 1173, 1173, 0.0258099, 0.114819, 6.93885e-18, 0.104291, 0.346776, 0.408294, 9.7355e-06, 0.235368, 0.00193889, 4.27827e-10, 0.00201687, 3.83505e-05, 0.440485, 8.26567e-05, 9.3338e-07, 3.69497e-10, 1.92475e-12, 1.2513e-10, 3.34028e-11, 1.07451e-07, 0.320069, 
0.0173684, 1.00004e+06, 1.00004e+06, 1.00003e+06, 0.15426, 1173, 1173, 0.0246708, 0.11236, 5.64105e-18, 0.0924246, 0.373767, 0.396768, 9.29336e-06, 0.242339, 0.00173368, 4.05571e-10, 0.00194376, 3.35583e-05, 0.436445, 7.67306e-05, 1.00471e-06, 3.72296e-10, 1.93657e-12, 1.21576e-10, 3.1888e-11, 9.76128e-08, 0.317427, 0.152281, 1173, 1173, 0.0242281, 0.113945, 6.12075e-18, 0.0976799, 0.362876, 0.401261, 9.49842e-06, 0.239322, 0.00181, 3.99193e-10, 0.00197021, 3.55299e-05, 0.438638, 7.89332e-05, 9.80328e-07, 3.72845e-10, 1.89732e-12, 1.18948e-10, 3.14688e-11, 1.01831e-07, 0.318144, 0.114783, 1173, 1173, 0.0233635, 0.11707, 7.2523e-18, 0.108761, 0.340697, 0.410098, 9.91194e-06, 0.23309, 0.00198046, 3.86932e-10, 0.00202399, 3.99405e-05, 0.442992, 8.36855e-05, 9.30052e-07, 3.73092e-10, 1.82015e-12, 1.13892e-10, 3.06838e-11, 1.10921e-07, 0.319788, 
0.0184211, 1.00002e+06, 1.00002e+06, 1.00002e+06, 0.152481, 1173, 1173, 0.0217606, 0.115471, 5.94837e-18, 0.0977079, 0.366036, 0.399015, 9.50008e-06, 0.239397, 0.00177719, 3.57095e-10, 0.00195131, 3.53527e-05, 0.439891, 7.78383e-05, 1.00369e-06, 3.77952e-10, 1.8172e-12, 1.08197e-10, 2.87254e-11, 1.01762e-07, 0.316869, 0.150589, 1173, 1173, 0.0213784, 0.116898, 6.44964e-18, 0.103024, 0.35534, 0.403349, 9.70034e-06, 0.236475, 0.00185528, 3.51719e-10, 0.00197753, 3.73625e-05, 0.441897, 8.00628e-05, 9.78294e-07, 3.77954e-10, 1.77826e-12, 1.05859e-10, 2.8342e-11, 1.05964e-07, 0.317677, 0.109771, 1173, 1173, 0.0206935, 0.119609, 7.63131e-18, 0.114116, 0.333626, 0.411946, 1.01042e-05, 0.230478, 0.00202997, 3.42443e-10, 0.00203151, 4.18267e-05, 0.445794, 8.48822e-05, 9.25589e-07, 3.76908e-10, 1.70395e-12, 1.01646e-10, 2.76951e-11, 1.14946e-07, 0.319539, 
0.0194737, 1.00001e+06, 1.00001e+06, 1.00001e+06, 0.151438, 1173, 1173, 0.0205145, 0.116691, 6.1976e-18, 0.100554, 0.360784, 0.401447, 9.63437e-06, 0.237759, 0.00181471, 3.36767e-10, 0.0019639, 3.64797e-05, 0.44136, 7.89092e-05, 9.94034e-07, 3.79328e-10, 1.75761e-12, 1.02387e-10, 2.73657e-11, 1.0425e-07, 0.316986, 0.149489, 1173, 1173, 0.0200234, 0.118158, 6.73792e-18, 0.106231, 0.349769, 0.405809, 9.84541e-06, 0.234733, 0.00189731, 3.29591e-10, 0.0019906, 3.86197e-05, 0.443417, 8.12314e-05, 9.67921e-07, 3.7921e-10, 1.71314e-12, 9.95639e-11, 2.68517e-11, 1.08668e-07, 0.317841, 0.108639, 1173, 1173, 0.0189768, 0.121034, 8.01681e-18, 0.11831, 0.327368, 0.414302, 1.02731e-05, 0.228471, 0.00208213, 3.14261e-10, 0.0020446, 4.34119e-05, 0.447499, 8.62423e-05, 9.14475e-07, 3.78074e-10, 1.62187e-12, 9.37397e-11, 2.577e-11, 1.18178e-07, 0.319772, 
0.0205263, 1e+06, 1e+06, 1e+06, 0.148991, 1173, 1173, 0.0172121, 0.119924, 6.73469e-18, 0.108173, 0.349407, 0.405274, 9.93133e-06, 0.233972, 0.00189162, 2.82543e-10, 0.00198254, 3.90799e-05, 0.445057, 8.09456e-05, 9.79966e-07, 3.83624e-10, 1.60775e-12, 8.7178e-11, 2.3719e-11, 1.09903e-07, 0.316976, 0.147186, 1173, 1173, 0.0167616, 0.121217, 7.29731e-18, 0.11388, 0.338926, 0.409205, 1.0131e-05, 0.2311, 0.00197471, 2.75941e-10, 0.00200754, 4.12364e-05, 0.446902, 8.32239e-05, 9.54334e-07, 3.83002e-10, 1.56403e-12, 8.4579e-11, 2.32144e-11, 1.14215e-07, 0.31789, 0.103515, 1173, 1173, 0.0160112, 0.123561, 8.58771e-18, 0.125457, 0.318189, 0.416772, 1.05186e-05, 0.225353, 0.002156, 2.65275e-10, 0.00205775, 4.58915e-05, 0.450373, 8.8041e-05, 9.0243e-07, 3.80697e-10, 1.48375e-12, 8.01649e-11, 2.23909e-11, 1.23161e-07, 0.319925, 
